Priority_Rank,District,Crisis_Score,Efficiency_Score,Priority_Index,Budget_Share_Pct,Budget_Crore,Hidden_Dropout_Mid_to_Sec_Pct,Dropout_Middle,PTR_Secondary,Pct_Smart_Classrooms,Pct_Internet,Teachers_Needed,Teacher_Cost_Crore,Classrooms_Needed,Classroom_Cost_Crore,Total_Intervention_Cost_Crore,Est_Students_Retained,Cost_Per_Student_Retained_Rs,Budget_Covers_Cost,Total_Enrolment,Total_Schools
1,Pakaur,82.56,55.68,71.81,6.68,33.4,38.3,11.0,44,7.49,63.24,343,30.87,258,10.32,41.19,7209,46331,Gap: Rs.7.8 Cr,217197,1148
2,Palamu,66.44,75.76,70.17,6.53,32.65,25.6,4.7,67,5.52,63.0,2428,218.52,710,28.4,246.92,42100,7755,Gap: Rs.214.3 Cr,494689,2900
3,Sahibganj,70.94,68.18,69.84,6.5,32.5,34.1,6.0,54,7.36,50.52,762,68.58,348,13.92,82.5,14214,22865,Gap: Rs.50.0 Cr,294736,1536
4,Giridih,44.88,85.49,61.12,5.69,28.45,17.6,0.0,68,7.62,48.63,2942,264.78,860,34.4,299.18,51010,5577,Gap: Rs.270.7 Cr,619850,3843
5,Dumka,58.66,61.5,59.8,5.56,27.8,28.6,7.2,41,8.05,56.84,543,48.87,562,22.48,71.35,12641,21992,Gap: Rs.43.5 Cr,281221,2560
6,Latehar,50.24,67.81,57.27,5.33,26.65,24.8,3.2,51,5.62,49.71,577,51.93,299,11.96,63.89,11047,24124,Gap: Rs.37.2 Cr,182745,1227
7,Garhwa,55.51,59.52,57.11,5.31,26.55,21.4,2.0,69,8.38,61.51,1482,133.38,348,13.92,147.3,25014,10614,Gap: Rs.120.8 Cr,318577,1611
8,Chatra,43.43,67.46,53.04,4.94,24.7,23.4,3.1,44,7.67,46.44,598,53.82,405,16.2,70.02,12210,20229,Gap: Rs.45.3 Cr,247289,1813
9,Godda,53.4,51.67,52.71,4.9,24.5,27.3,4.3,47,14.46,46.77,780,70.2,274,10.96,81.16,13892,17636,Gap: Rs.56.7 Cr,316284,1764
10,Pashchimi Singhbhum,46.23,58.12,50.99,4.74,23.7,21.2,6.1,40,7.82,68.89,619,55.71,505,20.2,75.91,13325,17786,Gap: Rs.52.2 Cr,351944,2276
11,Deoghar,47.93,51.62,49.41,4.6,23.0,24.0,2.7,51,8.96,74.95,1187,106.83,467,18.68,125.51,21541,10677,Gap: Rs.102.5 Cr,363352,2220
12,Jamtara,46.9,50.77,48.45,4.51,22.55,24.0,3.6,46,6.93,69.07,412,37.08,260,10.4,47.48,8260,27300,Gap: Rs.24.9 Cr,163683,1125
13,Gumla,31.89,67.22,46.02,4.28,21.4,21.1,3.7,29,8.4,41.06,0,0.0,386,15.44,15.44,3088,69301,Fully covered,216102,1785
14,Dhanbad,23.64,65.46,40.37,3.76,18.8,14.8,1.1,38,12.66,47.0,968,87.12,425,17.0,104.12,17920,10491,Gap: Rs.85.3 Cr,487560,2449
15,Hazaribag,19.34,64.6,37.44,3.48,17.4,13.1,0.0,39,10.98,48.07,892,80.28,425,17.0,97.28,16780,10369,Gap: Rs.79.9 Cr,392508,2232
16,Saraikela-Kharsawan,23.48,58.1,37.33,3.47,17.35,14.2,1.3,38,7.45,58.11,371,33.39,360,14.4,47.79,8445,20545,Gap: Rs.30.4 Cr,198432,1597
17,Kodarma,32.42,37.79,34.57,3.22,16.1,16.5,0.0,52,12.67,65.52,735,66.15,167,6.68,72.83,12361,13025,Gap: Rs.56.7 Cr,181933,963
18,Khunti,23.79,47.79,33.39,3.11,15.55,17.6,2.5,28,11.04,51.46,0,0.0,194,7.76,7.76,1552,100193,Fully covered,112882,1024
19,Simdega,14.87,55.22,31.01,2.89,14.45,17.0,0.0,26,9.39,48.24,0,0.0,228,9.12,9.12,1824,79221,Fully covered,126852,1107
20,Ranchi,3.77,68.73,29.75,2.77,13.85,7.0,0.0,27,14.01,52.53,0,0.0,527,21.08,21.08,4216,32851,Gap: Rs.7.2 Cr,692365,3297
21,Lohardaga,32.76,13.23,24.95,2.32,11.6,15.1,3.8,40,15.1,88.04,253,22.77,100,4.0,26.77,4595,25245,Gap: Rs.15.2 Cr,117726,669
22,Ramgarh,26.15,15.86,22.03,2.05,10.25,17.7,2.3,32,19.7,69.81,121,10.89,95,3.8,14.69,2575,39806,Gap: Rs.4.4 Cr,194356,924
23,Bokaro,8.37,41.03,21.43,1.99,9.95,4.4,0.0,38,15.82,64.51,878,79.02,302,12.08,91.1,15586,6384,Gap: Rs.81.1 Cr,403811,2130
24,Purbi Singhbhum,4.2,30.39,14.68,1.37,6.85,5.0,0.0,31,15.81,85.85,145,13.05,309,12.36,25.41,4647,14741,Gap: Rs.18.6 Cr,460837,2176
