District,Total_Schools,Govt_Schools,Private_Schools,Total_Enrolment,Enrolment_Middle,Enrolment_Secondary,SC_Students,ST_Students,OBC_Students,Total_Teachers,Govt_Teachers,PTR_Foundational,PTR_Preparatory,PTR_Middle,PTR_Secondary,GER_Foundational,GER_Preparatory,GER_Middle,Dropout_Preparatory,Dropout_Middle,Dropout_Secondary,Trans_Found_to_Prep,Trans_Prep_to_Mid,Trans_Mid_to_Sec,Pct_Electricity,Pct_Drinking_Water,Pct_Girls_Toilet,Pct_Computer,Pct_Internet,Pct_Smart_Classrooms,Pct_Functional_Computer,Pct_Playground,PGI_Score,PGI_Grade,ST_Proportion_Pct,Hidden_Dropout_Mid_to_Sec_Pct
Chatra,1813,1577,30,247289,67389,56426,77786,30159,125565,7079,1577,11,18,24,44,,,,4.6,3.1,0,98.3,85,76.6,95.37,99.56,,88.31,46.44,7.67,43.96,,232.25,PRACHESTA-3,12.2,23.4
Deoghar,2220,1982,43,363352,98280,86513,46342,37959,230376,8656,1982,12,21,32,51,,,,1.4,2.7,3.4,100,91.5,76,97.57,99.41,,80.54,74.95,8.96,41.13,,273.88,PRACHESTA-2,10.45,24
Dhanbad,2449,1740,153,487560,123775,137900,73525,47624,236479,15491,1740,11,15,17,38,,,,0,1.1,0,100,96.2,85.2,98.45,99.63,,80.52,47,12.66,43.65,,260.01,PRACHESTA-2,9.77,14.8
Dumka,2560,2329,49,281221,76332,60745,16985,119618,136435,8017,2329,12,19,25,41,,,,5.2,7.2,4.2,97.2,86.4,71.4,98.83,99.26,,75.35,56.84,8.05,42.58,,236.91,PRACHESTA-3,42.54,28.6
Garhwa,1611,1441,60,318577,84241,78669,76930,53168,168254,6811,1441,12,20,34,69,,,,3.9,2,1.5,100,85.7,78.6,95.34,99.88,,46.43,61.51,8.38,32.65,,210.42,PRACHESTA-3,16.69,21.4
Giridih,3843,3157,111,619850,157901,157915,81799,63342,413348,15213,3157,11,18,28,68,,,,3.2,0,0,97.7,85.3,82.4,99.01,99.84,,78.58,48.63,7.62,44.05,,258.89,PRACHESTA-2,10.22,17.6
Godda,1764,1539,28,316284,85637,64689,29922,59033,214637,6717,1539,15,24,41,47,,,,3.6,4.3,0,100,86.6,72.7,92.52,97.45,,77.49,46.77,14.46,36.79,,232.61,PRACHESTA-3,18.66,27.3
Gumla,1785,1348,51,216102,55501,48478,8720,152628,45314,7494,1348,10,13,22,29,,,,4.4,3.7,7.8,90.9,87.3,78.9,84.43,98.04,,51.99,41.06,8.4,27.56,,215,PRACHESTA-3,70.63,21.1
Hazaribag,2232,1495,137,392508,97143,115971,69140,33035,247868,13517,1495,10,13,16,39,,,,3.9,0,0,95.5,86.1,86.9,96.33,99.55,,74.42,48.07,10.98,48.57,,264.57,PRACHESTA-2,8.42,13.1
Jamtara,1125,1037,19,163683,45538,35503,14627,46099,94571,4142,1037,11,19,37,46,,,,2.2,3.6,0,100,91.1,76,99.82,99.91,,80.89,69.07,6.93,32.71,,229.17,PRACHESTA-3,28.16,24
Khunti,1024,778,28,112882,27448,25645,5947,85466,17469,3960,778,12,14,18,28,,,,3.1,2.5,5.7,91.5,88.1,82.4,96.09,99.71,,63.96,51.46,11.04,37.79,,237.43,PRACHESTA-3,75.71,17.6
Kodarma,963,682,27,181933,46776,52116,28031,2923,129118,5310,682,11,16,19,52,,,,1.9,0,0,98.3,90.8,83.5,95.95,99.79,,92.21,65.52,12.67,62.2,,260.7,PRACHESTA-2,1.61,16.5
Latehar,1227,1076,12,182745,46906,42011,34093,97955,44096,4426,1076,13,18,31,51,,,,4.5,3.2,0,96.9,84.7,75.2,93.32,98.86,,80.52,49.71,5.62,42.22,,222.64,PRACHESTA-3,53.6,24.8
Lohardaga,669,512,26,117726,29709,30356,5357,70811,35465,3089,512,14,18,21,40,,,,4,3.8,5.7,91.8,89.5,84.9,98.8,99.85,,88.49,88.04,15.1,73.84,,258.62,PRACHESTA-2,60.15,15.1
